trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
3572,269483,269493,2024-07-24T16:55:00,2024-07-24T17:45:00,short,bear_flag,-0.074388,-17.748413,4.002749,-37.70372999999999,-19070.67900400004,-0.9070679004000042,1.2098789715,-2.116946871900004,-1.7497178823394437
3573,269567,269578,2024-07-24T23:55:00,2024-07-25T00:50:00,short,bear_flag,0.152273,20.478238,3.995105,-37.55145699999999,-19050.20076600004,-0.9050200766000043,1.2098789715,-2.1148990481000043,-1.7480252966773744
3574,269628,269639,2024-07-25T05:00:00,2024-07-25T05:55:00,short,bear_flag,-0.034303,-23.403927,4.00388,-37.58575999999999,-19073.60469300004,-0.9073604693000041,1.2098789715,-2.117239440800004,-1.749959699006145
3575,269806,269816,2024-07-25T19:50:00,2024-07-25T20:40:00,short,bear_pennant,-0.235957,-52.823954,4.009763,-37.82171699999999,-19126.42864700004,-0.9126428647000042,1.2098789715,-2.1225218362000042,-1.7543257517473136
3576,269879,269889,2024-07-26T01:55:00,2024-07-26T02:45:00,long,bull_flag,1.045761,134.014549,4.027608,-36.775955999999994,-18992.41409800004,-0.8992414098000041,1.2098789715,-2.109120381300004,-1.7432490612553837
3577,270063,270073,2024-07-26T17:15:00,2024-07-26T18:05:00,long,bull_flag,0.239728,21.815702,4.005164,-36.536227999999994,-18970.59839600004,-0.8970598396000042,1.2098789715,-2.1069388111000045,-1.7414459303213077
3578,270149,270162,2024-07-27T00:25:00,2024-07-27T01:30:00,long,bull_flag,-0.221474,-25.890525,3.995621,-36.757701999999995,-18996.48892100004,-0.8996488921000041,1.2098789715,-2.109527863600004,-1.7435858571743132
3579,270180,270191,2024-07-27T03:00:00,2024-07-27T03:55:00,short,bear_flag,0.206458,21.281653,3.994945,-36.551244,-18975.207268000042,-0.8975207268000043,1.2098789715,-2.1073996983000045,-1.7418268669363384
3580,270250,270260,2024-07-27T08:50:00,2024-07-27T09:40:00,long,bull_flag,0.288366,21.476824,4.005096,-36.26287799999999,-18953.73044400004,-0.8953730444000041,1.2098789715,-2.105252015900004,-1.7400517452501272
3581,270319,270329,2024-07-27T14:35:00,2024-07-27T15:25:00,long,bull_flag,-0.396293,-69.693813,3.986859,-36.65917099999999,-19023.424257000042,-0.9023424257000043,1.2098789715,-2.1122213972000043,-1.7458121406815477
3582,270334,270345,2024-07-27T15:50:00,2024-07-27T16:45:00,long,bull_flag,-0.17926,-28.108605,3.995177,-36.83843099999999,-19051.532862000044,-0.9051532862000045,1.2098789715,-2.1150322577000047,-1.7481353982686394
3583,270447,270459,2024-07-28T01:15:00,2024-07-28T02:15:00,short,bear_flag,-0.028699,-8.969025,4.000994,-36.867129999999996,-19060.501887000042,-0.9060501887000043,1.2098789715,-2.1159291602000043,-1.7488767141532258
3584,270503,270513,2024-07-28T05:55:00,2024-07-28T06:45:00,short,bear_flag,-0.178193,-31.389537,4.005477,-37.045322999999996,-19091.89142400004,-0.9091891424000043,1.2098789715,-2.1190681139000045,-1.7514711502695164
3585,270607,270617,2024-07-28T14:35:00,2024-07-28T15:25:00,long,bull_flag,-0.036138,-10.944373,3.998611,-37.081461,-19102.83579700004,-0.9102835797000042,1.2098789715,-2.1201625512000044,-1.7523757343855977
3586,270697,270707,2024-07-28T22:05:00,2024-07-28T22:55:00,short,bear_flag,0.014127,-2.772298,3.999755,-37.067333999999995,-19105.60809500004,-0.910560809500004,1.2098789715,-2.120439781000004,-1.7526048728420305
