trade_no,exit_idx,exit_time,side,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
5335,322946,2025-01-26T08:10:00,short,0.338488,16.822479,3.995836,-63.920973000000956,-24460.513573000033,-1.4460513573000036,1.1735233204000002,-2.6195746777000037,-2.232230610301899
5336,323016,2025-01-26T14:00:00,long,-0.263762,-16.491375,3.997501,-64.18473500000096,-24477.004948000034,-1.4477004948000034,1.1735233204000002,-2.6212238152000036,-2.233635897671423
5337,323061,2025-01-26T17:45:00,long,1.8,84.162707,4.017636,-62.38473500000096,-24392.842241000035,-1.4392842241000037,1.1735233204000002,-2.612807544500004,-2.2264641009514987
5338,323101,2025-01-26T21:05:00,short,1.8,55.815645,3.988039,-60.58473500000096,-24337.026596000036,-1.4337026596000038,1.1735233204000002,-2.607225980000004,-2.221707855887619
5339,323187,2025-01-27T04:15:00,long,-1.0,-95.494456,3.981697,-61.58473500000096,-24432.521052000036,-1.4432521052000036,1.1735233204000002,-2.6167754256000038,-2.2298452703164564
5340,323290,2025-01-27T12:50:00,short,-1.0,-78.800463,4.014957,-62.58473500000096,-24511.321515000036,-1.4511321515000035,1.1735233204000002,-2.6246554719000037,-2.2365601315919132
5341,323323,2025-01-27T15:35:00,short,-1.0,-103.075483,4.019811,-63.58473500000096,-24614.396998000037,-1.4614396998000037,1.1735233204000002,-2.634963020200004,-2.2453435516746834
5342,323551,2025-01-28T10:35:00,short,0.25782,11.648525,3.996871,-63.32691500000096,-24602.748473000036,-1.4602748473000036,1.1735233204000002,-2.6337981677000037,-2.2443509403820476
5343,323562,2025-01-28T11:30:00,long,-1.0,-52.163655,3.990365,-64.32691500000095,-24654.912128000036,-1.465491212800004,1.1735233204000002,-2.639014533200004,-2.248795986687751
5344,323604,2025-01-28T15:00:00,short,-1.0,-91.229866,4.017442,-65.32691500000095,-24746.141994000038,-1.474614199400004,1.1735233204000002,-2.648137519800004,-2.2565700005836913
