trade_no,conf_idx,exit_idx,entry_time,exit_time,side,family,gross_r,net_pnl,fees,cumulative_gross_r,cumulative_net_pnl,nav,peak_nav,drawdown,drawdown_pct
107,7684,7694,2018-11-24T06:00:00,2018-11-24T16:00:00,short,bear_flag,0.209377,168.593277,3.965488,-4.938391000000003,-3088.4783930000012,0.6911521606999999,1.0474504077,-0.3562982470000001,-0.34015762882976264
108,7804,7814,2018-11-29T06:00:00,2018-11-29T16:00:00,long,bull_flag,0.159534,234.226329,4.047655,-4.778857000000003,-2854.252064000001,0.7145747935999999,1.0474504077,-0.3328756141000001,-0.31779606142015926
109,7862,7872,2018-12-01T16:00:00,2018-12-02T02:00:00,short,bear_flag,-0.000381,-4.362407,4.000072,-4.779238000000003,-2858.6144710000012,0.7141385529,1.0474504077,-0.33331185480000003,-0.31821254003985633
110,7933,7943,2018-12-04T15:00:00,2018-12-05T01:00:00,short,bear_flag,0.239382,231.958923,3.952818,-4.539856000000003,-2626.655548000001,0.7373344451999999,1.0474504077,-0.31011596250000006,-0.29606744168533494
111,8018,8028,2018-12-08T04:00:00,2018-12-08T14:00:00,short,bear_pennant,0.179902,302.443925,3.938723,-4.359954000000003,-2324.211623000001,0.7675788376999999,1.0474504077,-0.27987157000000007,-0.2671931462746234
112,8111,8121,2018-12-12T01:00:00,2018-12-12T11:00:00,short,bear_flag,-0.289422,-207.696559,4.040731,-4.649376000000003,-2531.908182000001,0.7468091817999999,1.0474504077,-0.3006412259000001,-0.2870219188325589
113,8302,8313,2018-12-20T00:00:00,2018-12-20T11:00:00,long,bull_flag,0.665906,738.588691,4.148547,-3.9834700000000027,-1793.319491000001,0.8206680509,1.0474504077,-0.22678235680000003,-0.2165089202628414
114,8394,8404,2018-12-23T20:00:00,2018-12-24T06:00:00,long,bull_flag,1.013027,557.111887,4.112245,-2.970443000000003,-1236.207604000001,0.8763792395999999,1.0474504077,-0.17107116810000011,-0.16332149650467898
115,8435,8445,2018-12-25T13:00:00,2018-12-25T23:00:00,short,bear_flag,-0.029225,-38.582007,4.006915,-2.999668000000003,-1274.789611000001,0.8725210388999999,1.0474504077,-0.1749293688000001,-0.16700491738230494
116,8450,8461,2018-12-26T04:00:00,2018-12-26T15:00:00,short,bear_flag,0.166445,205.194148,3.95817,-2.833223000000003,-1069.595463000001,0.8930404536999998,1.0474504077,-0.15440995400000013,-0.1474150497865142
117,8538,8551,2018-12-29T20:00:00,2018-12-30T09:00:00,long,bull_pennant,-0.036648,-33.948309,3.994009,-2.869871000000003,-1103.5437720000011,0.8896456227999999,1.0474504077,-0.15780478490000005,-0.15065609191609275
118,8575,8585,2018-12-31T09:00:00,2018-12-31T19:00:00,long,bull_pennant,-0.830218,-237.375638,3.953316,-3.700089000000003,-1340.919410000001,0.8659080589999999,1.0474504077,-0.18154234870000008,-0.17331832358405608
119,8650,8664,2019-01-03T12:00:00,2019-01-04T02:00:00,long,bull_flag,-0.290648,-159.443174,3.968905,-3.990737000000003,-1500.362584000001,0.8499637415999999,1.0474504077,-0.1974866661000001,-0.18854034964160538
120,8933,8945,2019-01-15T07:00:00,2019-01-15T19:00:00,long,bull_flag,-0.139258,-72.730399,3.986251,-4.129995000000003,-1573.0929830000011,0.8426907016999998,1.0474504077,-0.20475970600000015,-0.19548391455554748
121,8956,8966,2019-01-16T06:00:00,2019-01-16T16:00:00,short,bear_flag,-0.110641,-36.617928,4.006522,-4.240636000000003,-1609.710911000001,0.8390289088999999,1.0474504077,-0.20842149880000005,-0.19897982498059608
122,8985,8995,2019-01-17T11:00:00,2019-01-17T21:00:00,long,bull_pennant,0.382472,61.537478,4.01311,-3.858164000000003,-1548.173433000001,0.8451826566999999,1.0474504077,-0.20226775100000005,-0.19310484726827426
123,9141,9151,2019-01-23T23:00:00,2019-01-24T09:00:00,long,bull_flag,-0.065532,-17.922699,3.997215,-3.923696000000003,-1566.096132000001,0.8433903867999999,1.0474504077,-0.20406002090000008,-0.19481592579459373
124,9264,9274,2019-01-29T02:00:00,2019-01-29T12:00:00,short,bear_flag,0.18055,77.259802,3.983751,-3.743146000000003,-1488.836330000001,0.8511163669999999,1.0474504077,-0.19633404070000005,-0.18743993916725077
125,9340,9350,2019-02-01T06:00:00,2019-02-01T16:00:00,long,bull_flag,0.570037,84.239276,4.017651,-3.173109000000003,-1404.597054000001,0.8595402945999999,1.0474504077,-0.18791011310000005,-0.1793976227596441
126,9365,9375,2019-02-02T07:00:00,2019-02-02T17:00:00,long,bull_flag,0.154677,27.29214,4.00626,-3.018432000000003,-1377.304914000001,0.8622695085999998,1.0474504077,-0.18518089910000013,-0.1767920445098894
127,9413,9423,2019-02-04T07:00:00,2019-02-04T17:00:00,short,bear_flag,-0.041212,-12.310616,4.001662,-3.0596440000000027,-1389.615530000001,0.8610384469999999,1.0474504077,-0.1864119607000001,-0.1779673379566723
128,9555,9566,2019-02-10T05:00:00,2019-02-10T16:00:00,short,bear_pennant,0.169,17.495723,3.995702,-2.8906440000000027,-1372.119807000001,0.8627880192999999,1.0474504077,-0.18466238840000004,-0.17629702279221338
129,9777,9788,2019-02-19T11:00:00,2019-02-19T22:00:00,long,bull_pennant,0.106602,90.700158,4.018944,-2.7840420000000026,-1281.4196490000008,0.8718580350999999,1.0474504077,-0.17559237260000005,-0.16763788653781442
130,9791,9801,2019-02-20T01:00:00,2019-02-20T11:00:00,long,bull_flag,0.129178,119.018839,4.024609,-2.6548640000000026,-1162.4008100000008,0.883759919,1.0474504077,-0.16369048870000003,-0.1562751682530087
131,9831,9843,2019-02-21T17:00:00,2019-02-22T05:00:00,long,bull_flag,0.246847,55.832296,4.011969,-2.4080170000000027,-1106.5685140000007,0.8893431486,1.0474504077,-0.1581072591,-0.1509448637737162
132,9874,9885,2019-02-23T12:00:00,2019-02-23T23:00:00,long,bull_pennant,2.894604,394.747773,4.079766,0.48658699999999744,-711.8207410000007,0.9288179258999999,1.0474504077,-0.11863248180000008,-0.11325832796274737
133,10135,10145,2019-03-06T09:00:00,2019-03-06T19:00:00,long,bull_pennant,0.010103,0.081683,4.000816,0.4966899999999974,-711.7390580000007,0.9288260942,1.0474504077,-0.11862431350000002,-0.11325052969378879
134,10164,10174,2019-03-07T14:00:00,2019-03-08T00:00:00,long,bull_flag,-0.125333,-29.005292,3.994998,0.3713569999999974,-740.7443500000007,0.9259255649999999,1.0474504077,-0.12152484270000008,-0.11601966241709272
135,10283,10293,2019-03-12T13:00:00,2019-03-12T23:00:00,short,bear_flag,0.113264,26.825915,3.993836,0.4846209999999974,-713.9184350000007,0.9286081565,1.0474504077,-0.11884225120000003,-0.11345859462784003
136,10307,10317,2019-03-13T13:00:00,2019-03-13T23:00:00,long,bull_flag,-0.24396,-42.432107,3.992312,0.2406609999999974,-756.3505420000007,0.9243649458,1.0474504077,-0.12308546190000003,-0.11750958422009883
137,10383,10396,2019-03-16T17:00:00,2019-03-17T06:00:00,long,bull_flag,-0.150822,-70.086012,3.98678,0.0898389999999974,-826.4365540000007,0.9173563445999999,1.0474504077,-0.13009406310000005,-0.12420068973543252
138,10399,10409,2019-03-17T09:00:00,2019-03-17T19:00:00,long,bull_flag,0.135297,46.490471,4.0101,0.2251359999999974,-779.9460830000007,0.9220053917,1.0474504077,-0.12544501600000002,-0.11976224848243955
139,10497,10508,2019-03-21T11:00:00,2019-03-21T22:00:00,long,bull_flag,-1.06158,-166.033757,3.967587,-0.8364440000000026,-945.9798400000008,0.9054020159999999,1.0474504077,-0.14204839170000005,-0.13561347693005443
140,10527,10537,2019-03-22T17:00:00,2019-03-23T03:00:00,short,bear_flag,-0.084944,-18.657442,4.002931,-0.9213880000000026,-964.6372820000007,0.9035362718,1.0474504077,-0.14391413590000002,-0.1373947013071558
141,10652,10663,2019-03-27T22:00:00,2019-03-28T09:00:00,long,bull_flag,-0.035229,-15.538906,3.997692,-0.9566170000000026,-980.1761880000007,0.9019823812,1.0474504077,-0.14546802650000001,-0.13887819932155054
142,10663,10673,2019-03-28T09:00:00,2019-03-28T19:00:00,long,bull_flag,0.01307,0.421097,4.000884,-0.9435470000000026,-979.7550910000007,0.9020244908999999,1.0474504077,-0.14542591680000005,-0.1388379972273126
143,10701,10713,2019-03-29T23:00:00,2019-03-30T11:00:00,long,bull_pennant,-0.08929,-27.980885,3.995203,-1.0328370000000027,-1007.7359760000006,0.8992264024,1.0474504077,-0.14822400530000002,-0.14150932990276022
144,10712,10722,2019-03-30T10:00:00,2019-03-30T20:00:00,long,bull_flag,0.094093,23.177751,4.005437,-0.9387440000000027,-984.5582250000007,0.9015441774999999,1.0474504077,-0.14590623020000004,-0.13929655201565305
145,10810,10820,2019-04-03T12:00:00,2019-04-03T22:00:00,long,bull_pennant,0.078976,160.656827,4.032938,-0.8597680000000026,-823.9013980000007,0.9176098601999999,1.0474504077,-0.12984054750000007,-0.12395865861096467
146,10828,10838,2019-04-04T06:00:00,2019-04-04T16:00:00,long,bull_flag,-0.088426,-221.122461,3.956567,-0.9481940000000026,-1045.0238590000006,0.8954976141,1.0474504077,-0.15195279360000002,-0.1450692008738239
147,11027,11039,2019-04-12T13:00:00,2019-04-13T01:00:00,short,bear_flag,-0.068494,-63.851545,4.011968,-1.0166880000000027,-1108.8754040000006,0.8891124596,1.0474504077,-0.15833794810000001,-0.15116510236286962
148,11044,11054,2019-04-13T06:00:00,2019-04-13T16:00:00,short,bear_flag,0.099638,62.118155,3.986779,-0.9170500000000027,-1046.7572490000007,0.8953242750999999,1.0474504077,-0.15212613260000007,-0.1452346874674858
149,11100,11110,2019-04-15T14:00:00,2019-04-16T00:00:00,long,bull_flag,-0.54197,-159.363305,3.968921,-1.4590200000000026,-1206.1205540000008,0.8793879445999999,1.0474504077,-0.16806246310000006,-0.16044908843849992
